x_pixel,y_pixel,distance_cm
324,230,2.83913
325,230,2.83913
326,230,2.83913
327,230,2.8544
328,230,2.83913
329,230,2.8544
330,230,2.8544
331,230,2.8544
332,230,2.8544
333,230,2.8544
334,230,2.8544
335,230,2.8544
336,230,2.86971
337,230,2.86971
338,230,2.86971
339,230,2.86971
340,230,2.86971
341,230,2.86971
342,230,2.8544
343,230,2.8544
344,230,2.8544
345,230,2.83913
346,230,2.83913
347,230,2.83913
348,230,2.83913
349,230,2.83913
350,230,2.82391
351,230,2.82391
352,230,2.82391
353,230,2.82391
354,230,2.82391
355,230,2.80872
356,230,2.80872
357,230,2.80872
358,230,2.80872
359,230,2.82391
360,230,2.82391
361,230,2.82391
362,230,2.82391
363,230,2.82391
364,230,2.82391
365,230,2.80872
366,230,2.80872
367,230,2.80872
368,230,2.80872
369,230,2.80872
370,230,2.80872
371,230,2.80872
372,230,2.80872
373,230,2.82391
374,230,2.82391
375,230,2.80872
376,230,2.80872
377,230,2.80872
378,230,2.80872
379,230,2.80872
380,230,2.80872
381,230,2.82391
382,230,2.82391
383,230,2.82391
384,230,2.80872
385,230,2.80872
386,230,2.80872
387,230,2.80872
388,230,2.79357
389,230,2.79357
390,230,2.79357
391,230,2.79357
392,230,2.79357
393,230,2.79357
394,230,2.80872
395,230,2.80872
396,230,2.80872
397,230,2.80872
398,230,2.80872
399,230,2.82391
400,230,2.80872
401,230,2.80872
402,230,2.82391
403,230,2.82391
404,230,2.82391
405,230,2.82391
406,230,2.82391
407,230,2.82391
408,230,2.83913
409,230,2.8544
410,230,2.8544
411,230,2.86971
412,230,2.86971
413,230,2.86971
414,230,2.86971
415,230,2.88506
416,230,2.88506
417,230,2.88506
418,230,2.90045
419,230,2.90045
420,230,2.90045
421,230,2.90045
422,230,2.90045
423,230,2.91588
424,230,2.91588
425,230,2.91588
426,230,2.91588
427,230,2.91588
428,230,2.91588
429,230,2.93135
430,230,2.93135
431,230,2.93135
432,230,2.93135
433,230,2.93135
434,230,2.93135
435,230,2.93135
436,230,2.93135
437,230,2.93135
438,230,2.93135
439,230,2.93135
440,230,2.93135
441,230,2.91588
442,230,2.91588
443,230,2.91588
444,230,2.91588
445,230,2.90045
446,230,2.90045
447,230,2.88506
448,230,2.88506
449,230,2.86971
450,230,2.86971
451,230,2.86971
452,230,2.88506
453,230,2.88506
454,230,2.88506
455,230,2.88506
456,230,2.88506
457,230,2.88506
458,230,2.88506
459,230,2.88506
460,230,2.88506
461,230,2.88506
462,230,2.90045
463,230,2.90045
464,230,2.91588
465,230,2.91588
466,230,2.91588
467,230,2.91588
468,230,2.93135
469,230,2.93135
470,230,2.93135
471,230,2.93135
472,230,2.94686
473,230,2.94686
474,230,2.94686
475,230,2.94686
476,230,2.94686
477,230,2.94686
478,230,2.94686
479,230,2.96242
480,230,2.96242
481,230,2.96242
482,230,2.96242
483,230,2.97802
484,230,2.97802
485,230,2.97802
486,230,2.99366
487,230,2.99366
488,230,2.99366
489,230,3.00934
490,230,3.00934
491,230,3.00934
492,230,3.00934
493,230,3.00934
494,230,3.00934
495,230,3.02507
496,230,3.02507
497,230,3.02507
498,230,3.04084
499,230,3.04084
500,230,3.05666
501,230,3.07252
502,230,3.07252
503,230,3.07252
504,230,3.08843
505,230,3.10438
506,230,3.10438
507,230,3.10438
508,230,3.10438
509,230,3.12038
510,230,3.12038
511,230,3.13642
512,230,3.15251
513,230,3.15251
514,230,3.16865
515,230,3.18483
516,230,3.20107
517,230,3.21735
518,230,3.21735
519,230,3.23368
520,230,3.25006
521,230,3.26649
522,230,3.28297
523,230,3.31608
524,230,3.33272
525,230,3.36614
526,230,3.38293
527,230,3.39978
528,230,3.43363
529,230,3.45064
530,230,3.48482
531,230,3.51923
532,230,3.69486
533,230,3.73074
534,230,3.74878
535,230,3.76688
536,230,3.78505
