x_pixel,y_pixel,distance_cm
306,230,2.93135
307,230,2.94686
308,230,2.94686
309,230,2.94686
310,230,2.96242
311,230,2.96242
312,230,2.96242
313,230,2.96242
314,230,2.96242
315,230,2.96242
316,230,2.96242
317,230,2.96242
318,230,2.97802
319,230,2.97802
320,230,2.97802
321,230,2.99366
322,230,2.99366
323,230,2.99366
324,230,2.99366
325,230,2.99366
326,230,2.99366
327,230,2.99366
328,230,2.99366
329,230,3.00934
330,230,3.00934
331,230,3.00934
332,230,3.00934
333,230,3.00934
334,230,3.00934
335,230,2.99366
336,230,2.99366
337,230,2.99366
338,230,2.99366
339,230,2.99366
340,230,2.99366
341,230,2.99366
342,230,2.99366
343,230,2.99366
344,230,2.97802
345,230,2.97802
346,230,2.97802
347,230,2.97802
348,230,2.97802
349,230,2.97802
350,230,2.97802
351,230,2.97802
352,230,2.97802
353,230,2.99366
354,230,2.99366
355,230,3.00934
356,230,3.00934
357,230,3.00934
358,230,3.02507
359,230,3.04084
360,230,3.04084
361,230,3.04084
362,230,3.04084
363,230,3.04084
364,230,3.04084
365,230,3.04084
366,230,3.04084
367,230,3.04084
368,230,3.04084
369,230,3.04084
370,230,3.04084
371,230,3.04084
372,230,3.02507
373,230,3.04084
374,230,3.04084
375,230,3.04084
376,230,3.02507
377,230,3.04084
378,230,3.04084
379,230,3.02507
380,230,3.02507
381,230,3.02507
382,230,3.04084
383,230,3.04084
384,230,3.02507
385,230,3.02507
386,230,3.04084
387,230,3.04084
388,230,3.04084
389,230,3.04084
390,230,3.04084
391,230,3.04084
392,230,3.05666
393,230,3.05666
394,230,3.04084
395,230,3.04084
396,230,3.05666
397,230,3.05666
398,230,3.05666
399,230,3.07252
400,230,3.07252
401,230,3.07252
402,230,3.07252
403,230,3.10438
404,230,3.12038
405,230,3.12038
406,230,3.13642
407,230,3.15251
408,230,3.16865
409,230,3.16865
410,230,3.18483
411,230,3.18483
412,230,3.20107
413,230,3.20107
414,230,3.20107
415,230,3.18483
416,230,3.18483
417,230,3.18483
418,230,3.18483
419,230,3.16865
420,230,3.16865
421,230,3.16865
422,230,3.16865
423,230,3.16865
424,230,3.16865
425,230,3.16865
426,230,3.16865
427,230,3.18483
428,230,3.18483
429,230,3.18483
430,230,3.18483
431,230,3.18483
432,230,3.18483
433,230,3.20107
434,230,3.20107
435,230,3.20107
436,230,3.20107
437,230,3.18483
438,230,3.18483
439,230,3.18483
440,230,3.18483
441,230,3.18483
442,230,3.20107
443,230,3.20107
444,230,3.18483
445,230,3.20107
446,230,3.20107
447,230,3.20107
448,230,3.20107
449,230,3.20107
450,230,3.20107
451,230,3.20107
452,230,3.20107
453,230,3.21735
454,230,3.21735
455,230,3.23368
456,230,3.25006
457,230,3.25006
458,230,3.26649
459,230,3.28297
460,230,3.28297
461,230,3.28297
462,230,3.28297
463,230,3.28297
464,230,3.2995
465,230,3.2995
466,230,3.2995
467,230,3.2995
468,230,3.2995
469,230,3.31608
470,230,3.31608
471,230,3.33272
472,230,3.3494
473,230,3.36614
474,230,3.36614
475,230,3.38293
476,230,3.38293
477,230,3.41667
478,230,3.41667
479,230,3.43363
480,230,3.43363
481,230,3.45064
482,230,3.45064
483,230,3.45064
484,230,3.4677
485,230,3.4677
486,230,3.4677
487,230,3.48482
488,230,3.48482
489,230,3.502
490,230,3.502
491,230,3.51923
492,230,3.53652
493,230,3.55387
494,230,3.58875
495,230,3.64153
496,230,3.65924
497,230,3.65924
498,230,3.67702
499,230,3.67702
500,230,3.67702
501,230,3.67702
502,230,3.67702
503,230,3.67702
504,230,3.67702
505,230,3.67702
506,230,3.67702
507,230,3.65924
508,230,3.65924
509,230,3.65924
510,230,3.64153
511,230,3.64153
512,230,3.64153
513,230,3.64153
514,230,3.64153
515,230,3.64153
516,230,3.64153
517,230,3.64153
518,230,3.64153
519,230,3.65924
520,230,3.69486
521,230,3.69486
522,230,3.71277
523,230,3.73074
524,230,3.73074
525,230,3.73074
526,230,3.74878
527,230,3.76688
528,230,3.76688
529,230,3.78505
530,230,3.78505
531,230,3.80329
532,230,3.80329
533,230,3.82159
534,230,3.83997
535,230,3.83997
536,230,3.85842
537,230,3.85842
538,230,3.87694
539,230,3.89553
540,230,3.89553
541,230,3.91419
542,230,3.91419
543,230,3.93292
544,230,3.97062
545,230,4.00862
546,230,4.02774
547,230,4.04694
548,230,4.06621
549,230,4.06621
550,230,4.08557
551,230,4.08557
552,230,4.10501
553,230,4.10501
554,230,4.10501
555,230,4.10501
556,230,4.12454
557,230,4.16384
558,230,4.18362
559,230,4.18362
560,230,4.18362
561,230,4.18362
562,230,4.16384
563,230,4.16384
564,230,4.18362
565,230,4.18362
566,230,4.20349
567,230,4.20349
568,230,4.22344
569,230,4.22344
570,230,4.22344
571,230,4.24349
572,230,4.24349
